periodo,Precio_cobre_ nominal,Agropecuario-silvícola y pesquero (FOB),"Celulosa, papel y otros (FOB)",Cobre (Miles TM),TPM_USA,TPM_CHN,TPM_CHL,PMI_CHN,IPI_USA,IPI_KOR,IPI_JPN,Exp_Cobre ,Monto_FOB_Cobre,Precio_FMI,INV_BML, Peso_CHL/USD,Yuan_CHN/USD,Yea_JPN/USD,Won_KOR/USD,,,,,
Aug.2007,340.807,169.09,242.24,383.088,5.02,3.33,5.42,56.10,0.10%,9.00%,3.40%,383.088,"2,677.77",152.1,"139,425","522,92","75,734","1,167,335","9,344,848",,,,,
Sep.2007,346.952,119.55,239.99,458.472,4.94,3.33,5.62,53.20,0.40%,-3.00%,-1.40%,458.472,"3,095.68",150.84,"130,775","516,91","7,521","1,150,435","928,595",,,,,
Oct.2007,363.256,103.88,284.06,567.090,4.76,3.33,5.75,55.40,-0.50%,16.10%,1.60%,567.09,"3,955.54",155.76,"166,975","501,44","75,019","1,158,661","9,149,435",,,,,
Nov.2007,316.005,82.82,318.24,444.987,4.49,3.33,5.75,55.30,0.60%,7.70%,-1.60%,444.987,"3,173.66",149.16,"189,200","506,95","7,421","1,110,729","9,188,095",,,,,
Dec.2007,298.812,235.72,180.04,390.230,4.24,3.33,5.88,53.00,0.00%,9.40%,1.40%,390.23,"2,574.28",139.15,"197,450","499,28","73,682","112,449","931,095",,,,,
Jan.2008,320.283,482.20,291.49,513.402,3.94,4.14,6.17,53.40,-0.20%,12.00%,-2.00%,513.402,"3,465.24",156.9,"178,775","480,90","72,405","1,078,181","9,420,571",,,,,
Feb.2008,357.780,408.91,264.76,406.916,2.98,4.14,6.25,58.40,-0.50%,10.90%,-1.20%,406.916,"2,952.53",165.51,"143,650","467,22","71,644","107,03","944,005",,,,,
Mar.2008,382.800,540.42,255.77,549.296,2.61,4.14,6.25,59.20,0.30%,10.80%,-3.10%,549.296,"4,092.13",174.41,"112,500","442,94","70,722","1,007,562","9,817,348",,,,,
Apr.2008,393.942,730.13,263.11,464.439,2.28,4.14,6.25,53.30,-0.70%,11.20%,-0.30%,464.439,"3,625.14",171.54,"110,525","446,43","69,997","1,026,777","9,868,636",,,,,
May.2008,380.235,493.61,350.25,355.492,1.98,4.14,6.25,52.00,-0.20%,9.20%,2.90%,355.492,"2,846.83",162.7,"124,950","470,10","69,725","1,043,595","10,341,333",,,,,
Jun.2008,374.694,286.14,244.14,450.186,2,4.14,6.58,48.40,0.50%,7.30%,-2.00%,450.186,"3,444.49",157.13,"122,600","493,61","68,993","1,069,152","10,314,857",,,,,
Jul.2008,381.655,263.05,334.22,524.753,2.01,4.14,7.07,48.40,0.20%,8.80%,0.90%,524.753,"3,952.97",155.87,"142,400","502,24","68,355","1,068,518","10,150,545",,,,,
Aug.2008,346.304,204.40,266.33,448.139,2,4.14,7.50,51.20,-1.10%,2.20%,-3.50%,448.139,"3,338.31",146.09,"173,375","516,70","68,462","1,093,624","10,461,143",,,,,
Sep.2008,317.100,145.00,297.16,347.391,1.81,4.14,8.15,44.60,-2.80%,6.60%,1.20%,347.391,"2,383.59",138.07,"198,600","530,17","68,307","1,065,748","11,348,667",,,,,
Oct.2008,223.426,125.43,241.39,496.105,0.97,4.14,8.25,38.80,1.30%,-1.60%,-3.10%,496.105,"3,006.20",110.8,"230,680","618,39","68,358","999,659","13,291,877",,,,,
Nov.2008,168.600,92.75,249.39,475.709,0.39,3.06,8.25,41.20,-0.60%,-13.60%,-8.10%,475.709,"2,126.52",98.34,"291,650","651,51","68,281","969,656","13,987,044",,,,,
Dec.2008,139.343,293.69,194.13,373.426,0.16,2.79,8.25,45.30,-2.00%,-18.40%,-9.60%,373.426,"1,316.23",94.04,"339,775","649,32","68,539","91,275","13,615,727",,,,,
Jan.2009,146.088,403.80,214.23,487.569,0.15,2.79,7.49,49.00,-1.80%,-25.30%,-10.00%,487.569,"1,554.99",97.94,"491,525","623,01","6,836","901,205","13,543,975",,,,,
Feb.2009,150.353,401.07,202.16,413.758,0.22,2.79,5.88,52.40,-1.40%,-9.40%,-9.40%,413.758,"1,344.48",96.88,"542,300","606,00","68,363","929,158","14,395,842",,,,,
Mar.2009,170.086,664.15,229.19,423.469,0.18,2.79,3.27,53.50,-1.50%,-10.10%,1.60%,423.469,"1,552.87",92.76,"499,625","592,93","6,836","97,855","14,496,159",,,,,
Apr.2009,199.878,631.49,196.64,478.394,0.15,2.79,1.92,53.10,-0.50%,-7.40%,5.20%,478.394,"1,919.42",98.17,"405,775","583,18","68,306","98,92","1,332,125",,,,,
May.2009,207.230,341.78,162.88,443.484,0.18,2.79,1.36,53.20,-1.10%,-8.20%,5.90%,443.484,"1,990.03",104.04,"312,275","565,72","68,235","966,445","1,254,345",,,,,
Jun.2009,227.429,219.06,209.64,438.226,0.21,2.79,1.04,53.30,-0.40%,-0.60%,2.40%,438.226,"2,092.40",116,"265,950","553,08","68,334","966,145","12,592,932",,,,,
Jul.2009,236.573,204.87,238.81,491.844,0.16,2.79,0.58,54.00,0.50%,1.00%,1.90%,491.844,"2,588.06",125.69,"280,875","540,42","68,317","94,367","12,596,739",,,,,
Aug.2009,279.653,171.55,229.76,392.724,0.16,2.79,0.50,54.30,0.80%,1.40%,1.80%,392.724,"2,140.23",145.93,"298,925","546,88","68,323","948,971","12,389,952",,,,,
Sep.2009,281.065,155.31,192.83,454.136,0.15,2.79,0.50,55.20,0.70%,12.10%,1.40%,454.136,"2,617.89",134.42,"345,650","549,07","68,277","912,748","12,118,643",,,,,
Oct.2009,285.218,113.89,281.73,419.153,0.12,2.79,0.50,55.20,0.10%,1.20%,0.50%,419.153,"2,473.61",140.59,"372,200","545,83","68,267","903,671","11,737,405",,,,,
Nov.2009,302.800,78.61,268.55,485.166,0.12,2.79,0.50,56.60,0.80%,18.50%,2.60%,485.166,"2,848.12",148.56,"438,525","507,78","68,271","892,674","11,628,368",,,,,
Dec.2009,316.685,281.90,263.06,492.577,0.12,2.79,0.50,55.80,0.60%,34.80%,2.20%,492.577,"3,149.04",156.26,"502,325","501,45","68,275","899,509","11,633,109",,,,,
Jan.2010,335.035,532.47,289.81,507.575,0.11,2.79,0.50,52.00,0.90%,38.70%,2.50%,507.575,"3,514.23",171.66,"541,050","500,66","68,269","911,011","11,381,947",,,,,
Feb.2010,310.628,449.07,274.03,396.681,0.13,2.79,0.50,55.10,0.10%,19.00%,-0.90%,396.681,"2,667.83",167.3,"549,725","532,56","68,285","901,395","11,556,553",,,,,
Mar.2010,338.508,601.99,153.64,457.708,0.16,2.79,0.50,55.70,0.10%,22.80%,0.30%,457.708,"3,198.05",183.1,"514,325","523,16","68,262","907,161","11,360,822",,,,,
Apr.2010,351.311,718.68,80.26,434.026,0.2,2.79,0.50,53.90,0.80%,20.20%,1.30%,434.026,"3,055.87",207.59,"499,300","520,62","68,256","934,527","11,154,591",,,,,
May.2010,310.152,531.14,186.79,410.708,0.2,2.79,0.50,52.10,1.20%,20.00%,-0.10%,410.708,"2,794.13",187.03,"476,725","533,21","68,275","91,973","1,164,841",,,,,
Jun.2010,294.803,323.24,266.60,428.031,0.18,2.79,0.74,51.20,0.10%,16.90%,-1.50%,428.031,"2,891.51",170.55,"451,100","536,67","68,184","908,059","12,141,114",,,,,
Jul.2010,305.506,257.70,295.84,478.953,0.18,2.79,1.24,51.70,1.00%,15.50%,0.30%,478.953,"3,361.96",164.21,"413,500","531,72","67,762","875,005","12,038,095",,,,,
Aug.2010,330.395,213.28,355.17,405.572,0.19,2.79,1.80,53.80,0.20%,17.10%,-0.30%,405.572,"2,835.48",182.31,"398,525","509,32","67,873","853,727","11,795,159",,,,,
Sep.2010,349.688,162.69,296.72,548.794,0.19,2.79,2.20,54.70,-0.20%,3.90%,-1.90%,548.794,"3,982.89",184.67,"374,150","493,93","67,396","843,571","1,159,931",,,,,
Oct.2010,376.137,137.98,336.08,360.410,0.19,2.79,2.64,55.20,0.00%,13.50%,-1.80%,360.41,"2,712.09",195.45,"368,500","484,04","66,678","817,285","1121,94",,,,,
Nov.2010,384.188,120.36,300.32,484.722,0.19,2.79,2.87,53.90,0.40%,10.40%,1.00%,484.722,"3,831.71",202.82,"355,750","482,32","66,538","82,518","1,129,623",,,,,
Dec.2010,414.913,322.40,270.06,528.932,0.18,3.25,3.12,52.90,0.80%,9.80%,3.10%,528.932,"4,371.40",213.36,"377,550","474,78","66,497","833,376","11,454,833",,,,,
Jan.2011,433.439,628.34,343.12,414.279,0.17,3.25,3.25,52.20,-0.10%,13.70%,2.40%,414.279,"3,830.18",225.06,"394,025","489,44","65,964","82,625","11,188,675",,,,,
Feb.2011,447.587,492.45,232.38,331.309,0.16,3.25,3.34,53.40,-0.10%,9.10%,0.40%,331.309,"3,096.06",234.69,"421,000","475,69","65,761","825,368","11,174,368",,,,,
Mar.2011,432.303,699.41,303.17,413.973,0.14,3.25,3.72,52.90,0.80%,8.70%,-15.30%,413.973,"3,826.98",221.39,"439,850","479,65","65,645","81,647","11,192,674",,,,,
Apr.2011,430.153,793.10,376.01,401.887,0.1,3.25,4.30,52.00,0.00%,6.90%,1.00%,401.887,"3,720.55",226.95,"463,650","471,32","65,267","831,771","10,831,762",,,,,
May.2011,404.924,612.15,311.07,464.975,0.09,3.25,4.80,50.90,0.10%,8.30%,5.70%,464.975,"4,159.29",218.57,"467,775","467,73","64,957","811,257","10,843,619",,,,,
Jun.2011,410.294,350.04,246.67,387.296,0.09,3.25,5.13,50.70,0.20%,6.40%,3.90%,387.296,"3,434.02",214.19,"465,250","469,41","64,746","804,259","10,804,523",,,,,
Jul.2011,436.321,254.32,307.75,461.845,0.07,3.25,5.25,50.90,0.90%,3.80%,0.60%,461.845,"4,033.69",219.01,"466,550","462,94","64,575","792,425","1,057,425",,,,,
Aug.2011,410.106,272.85,404.67,404.040,0.1,3.25,5.25,51.20,0.20%,4.80%,0.80%,404.04,"3,558.56",213.3,"463,825","466,79","64,036","769,657","1,073,887",,,,,
Sep.2011,377.155,204.33,331.44,408.165,0.08,3.25,5.25,50.40,0.20%,6.80%,-4.00%,408.165,"3,461.67",206.27,"473,700","483,69","63,885","767,957","11,219,095",,,,,
Oct.2011,333.277,143.71,235.95,454.596,0.07,3.25,5.25,49.00,0.70%,6.20%,2.40%,454.596,"3,545.97",182.79,"429,375","511,74","6,371","76,643","1,150,685",,,,,
Nov.2011,342.543,138.54,281.56,491.466,0.08,3.25,5.25,50.30,-0.20%,5.60%,-2.60%,491.466,"3,733.33",175.18,"386,625","508,44","63,564","775,595","11,334,775",,,,,
Dec.2011,343.258,379.44,253.82,435.634,0.07,3.25,5.25,50.50,0.40%,2.80%,4.00%,435.634,"3,213.86",174.89,"370,900","517,17","63,482","777,967","11,481,262",,,,,
Jan.2012,364.845,637.24,251.13,547.446,0.08,3.25,5.10,51.00,0.00%,-2.00%,2.00%,547.446,"4,220.42",183.22,"330,825","501,34","63,172","76,964","11,403,275",,,,,
Feb.2012,382.047,538.90,275.63,423.367,0.1,3.25,5.00,53.10,0.00%,14.40%,-1.20%,423.367,"3,332.51",187.27,"296,425","481,49","62,997","78,47","1122,69",,,,,
Mar.2012,383.605,827.03,308.83,444.631,0.13,3.25,5.00,53.30,0.00%,0.30%,1.00%,444.631,"3,581.75",187.7,"256,275","485,40","63,125","824,659","1126,17",,,,,
Apr.2012,374.651,816.84,240.26,384.485,0.14,3.25,5.00,50.40,1.10%,0.00%,0.20%,384.485,"3,040.49",186.18,"241,550","486,00","63,043","812,524","11,350,238",,,,,
May.2012,359.242,494.08,299.01,404.080,0.16,3.25,5.00,50.20,-0.10%,2.60%,-3.10%,404.08,"3,180.03",176.15,"230,675","497,09","63,242","796,668","11,566,914",,,,,
Jun.2012,336.570,365.99,273.76,483.725,0.16,3.25,5.00,50.10,0.40%,1.60%,-0.10%,483.725,"3,602.98",169.98,"257,150","505,63","63,633","793,152","11,633,886",,,,,
Jul.2012,344.249,294.13,262.04,517.436,0.16,3.25,5.00,49.20,0.60%,0.30%,-1.20%,517.436,"3,839.91",166.36,"248,825","491,93","63,717","789,348","11,422,781",,,,,
Aug.2012,339.852,253.86,307.24,390.619,0.13,3.25,5.00,49.80,-1.20%,0.30%,-1.30%,390.619,"2,926.92",154.21,"229,900","480,99","63,593","786,909","11,317,457",,,,,
Sep.2012,365.975,156.36,235.29,291.147,0.14,3.25,5.00,50.20,0.40%,0.70%,-4.10%,291.147,"2,142.31",156.92,"219,400","474,97","6,32","781,353","11,229,911",,,,,
Oct.2012,366.027,146.41,257.80,447.131,0.16,3.25,5.00,50.60,-0.40%,-0.80%,1.80%,447.131,"3,396.24",162.63,"239,775","475,36","62,627","790,132","11,053,823",,,,,
Nov.2012,349.003,131.62,321.38,476.458,0.16,3.25,5.00,50.60,1.10%,2.90%,-1.70%,476.458,"3,664.89",162.69,"248,150","480,57","62,338","810,305","10,869,525",,,,,
Dec.2012,361.177,356.36,246.01,422.795,0.16,3.25,5.00,50.40,0.30%,0.80%,2.50%,422.795,"3,225.94",171.85,"320,050","477,13","62,328","837,905","10,752,225",,,,,
Jan.2013,365.109,728.39,319.02,462.456,0.14,3.25,5.00,50.10,-0.10%,7.30%,1.00%,462.456,"3,556.61",183.41,"371,750","472,67","62,215","890,581","10,665,205",,,,,
Feb.2013,366.071,502.50,204.63,477.652,0.15,3.25,5.00,50.90,0.70%,-9.30%,-0.10%,477.652,"3,645.89",185.81,"446,700","472,34","62,323","930,016","10,873,084",,,,,
Mar.2013,347.583,710.97,317.01,401.117,0.14,3.25,5.00,50.60,0.40%,-3.00%,0.20%,401.117,"3,066.72",172.56,"569,775","472,48","62,154","94,77","1,102,871",,,,,
Apr.2013,326.739,945.95,244.18,261.391,0.15,3.25,5.00,50.80,-0.50%,1.70%,1.70%,261.391,"1,920.84",166.77,"618,600","472,14","61,861","977,582","11,208,977",,,,,
May.2013,327.910,722.07,271.44,426.112,0.11,3.25,5.00,50.10,0.00%,-1.40%,2.00%,426.112,"2,949.53",159.24,"608,450","479,58","61,416","1,009,186","11,114,945",,,,,
Jun.2013,317.699,464.03,317.16,634.484,0.09,3.25,5.00,50.3,0.30%,-2.60%,-3.30%,634.484,"4,102.09",152.21,"665,775","502,89","61,342","97,235","11,350,085",,,,,
Jul.2013,312.660,398.95,262.57,439.300,0.09,3.25,5.00,51.0,0.00%,0.90%,3.20%,439.3,"2,908.14",155.92,"612,800","504,96","61,343","996,727","1125,03",,,,,
Aug.2013,325.782,255.59,336.12,561.436,0.08,3.25,5.00,51.1,0.40%,3.30%,-0.70%,561.436,"3,721.47",163.36,"588,000","512,59","61,213","978,123","11,159,418",,,,,
Sep.2013,324.837,182.92,292.79,415.985,0.08,3.25,5.00,51.4,0.60%,-3.60%,1.50%,415.985,"2,519.04",160.86,"538,025","504,57","61,198","99,21","10,823,115",,,,,
Oct.2013,326.076,189.64,378.98,584.556,0.09,3.25,4.90,51.4,-0.10%,3.00%,0.50%,584.556,"3,927.13",161.12,"476,150","500,81","61,032","97,77","10,658,573",,,,,
